"ID","text","label"
"K44033","Self-weight from an installation that is permanently mounted and safely determined as a load must be considered as a permanent load in a permanent design situation.",TRUE
"K48993","Switchgear must be made in the lowest IAC class FL, access to the front and ends during normal setup in the switchgear room, which requires mounting against a wall or similar alternative obstacle for access to the back of the switchgear.",FALSE
"K209197","In connection with the design of new communication cable and new ducts for communication cable in the Swedish Transport Administration's cable facilities, the installation number must be requested from the Swedish Transport Administration ICT via telekombestallning@trafikverket.",TRUE
"K195485","The traffic safety characteristics of a transition must be verified in one of the following ways: ·crash tested according to SS-ENV 1317-4 or prEN 1317-4 method A ·simulated according to prEN 1317-4 method B1 ·designed according to principles stated in prEN 1317-4 method B2 or B3 ·designed based on differences in dynamic deflection in TB11 tests according to SS-EN 1317-2.",FALSE
"K3567","Camera units must have automatic image stabilization that compensates for movements of the camera unit.",FALSE
"K57726","At least eight of the most recent events shall be stored in the relay protection terminal.",FALSE
"K35826","Track infrastructure and subsoil must meet requirements in section 7.",FALSE
"K65256","The function for ""WHEN""/""AWAY"" must exist and be realized in electromechanical technology.",FALSE
"K134576","Material thickness must be ≥ 4.0 mm.",TRUE
"K68280","The experience must be current at the time of application, documented in a customized CV.",FALSE
"K111550","When dimensioning the reservoir, consideration must be given to the sedimentation that may occur before the reservoir.",FALSE
"K29243","Access protection must prevent unauthorized track entry, illegal trespassing, theft, vandalism, sabotage and arson at traffic points with goods handling.",FALSE
"K56651","Documentation must meet requirements according to TDOK 2016:0407 Data on the railway facility.",TRUE
"K2770","Upper edge of boom arm in shut-off devices at openable bridge, road operational environment, must be 0.9 – 1.1 m above the carriageway in closed position.",TRUE
"K162032","Data communication unit must be installed in control cabinet.",FALSE
"K54610","Thermal insulation must also provide protection against accidental contact with hot parts.",TRUE
"K135135","For road bridges and pedestrian and bicycle bridges, the upper surface of the surface drain must be placed 10 mm below the upper surface of the pavement.",TRUE
"K210928","IP-based end equipment that is to be connected to the Swedish Transport Administration's operational network must function as a full-fledged ""IP host"", specified in current RFCs from the IETF.",FALSE
"K109864","For roads with unbonded wear layers, gravel wear layers must be laid out according to AMA Anlanjäng with a layer thickness of 50–90 mm.",TRUE
"K124919","During commissioning and inspection of relay switchgear, general checks must be carried out.",TRUE
"K58188","Distance protection must have at least three zones in the forward direction and at least three zones in the backward direction.",TRUE
"K68257","The manager of the examiner or inspector shall be responsible for initiating revocation of authorization.",TRUE
"K53275","The tension must withstand the forces that may arise.",FALSE
"K128543","Each switch must be illuminated so that the light is spread evenly between the outermost switch points.",TRUE
"K9763","During each trial period, trial meetings must be held.",TRUE
"K42402","With air-braked vehicles in the brake tester, manual mode, the time for averaging must be 5.3 s at a nominal test speed of 2 km/h.",FALSE
"K43635","The door between the traffic space and the escape route must be easily identifiable as an emergency exit.",TRUE
