"ID","text","label"
"K32998","Trösklar på en hinderfri gångväg ska vara kontrasterande mot den omgivande golvytan.",TRUE
"K160118","En skredvarningsförsignal ska vara försedd med en fyrkantig gul skylt med texten ”Fsi skredvarning” och tillhörande skredvarningsstopplyktas beteckning.",TRUE
"K218110","Signalanläggningar som inte är placerade spårnära ska vara tillgängliga för underhåll vid drift.",FALSE
"K42306","Bromsprovaren ska vara med instrumentenhet som visar bromskraft.",TRUE
"K53647","Vid märkning av grupptillhörighet ska Trafikverkets skyltar med följande artikelnummer vara använda: · 04 29 601 - Gruppmarkeringsskylt BV 2802, två tecken.",FALSE
"K46568","Installationsgolvets bärande konstruktion får inte försämras om samtliga golvplattor lyfts bort.",FALSE
"K111674","Konsekvensbedömning ska genomföras med den återkomsttid som gäller för den sårbara punkt som kan påverkas.",FALSE
"K126068","Materiel som används till skyddsjordning ska bestå utav produkter godkända av Trafikverket.",FALSE
"K62414","Innan transformator tas i drift ska följande uppfyllas: · överslagsvärdet ska vara minst 60 kV/ 2,5mm.",FALSE
"K73142","Dialogfönster för omformare av typen HOG ska innehålla jordslutare F-J-G.",TRUE
"K134929","Ändskärm ska ges sådan höjd att följande uppfylls: · Avstånd från intilliggande brobaneplattas underyta till ändskärms underyta är ≥ 0,60 m.",TRUE
"K159231","Lägesvisare ska vara utförd för visning av mellanläge.",TRUE
"K209219","I samband med förläggning av kablar, optorör och dukter i mark i Trafikverkets kabelanläggningar ska – förutom kraven i detta avsnitt – kraven i SS 424 14 37 uppfyllas.",TRUE
"K37489","Avstånd mellan skarv och rälände får inte understiga 1,5 m.",FALSE
"K158712","Sammanfattningen av resultatet från bärighetsberäkning ska även innehålla uppgift om tillåten trafiklast.",FALSE
"K35144","Mätning av ytjämnhet ska utföras minst en gång per skift.",TRUE
"K208840","Inför felavhjälpning i Trafikverkets optokabelanläggningar ska det finnas vedertagna rutiner för hantering av kabeltyper med olika antal fibrer.",TRUE
"K43146","Enheter i lokala styrutrustningar för öppningsbar bro, vägoperativ miljö, ska så långt som möjligt utgöras av standardkomponenter för att möjliggöra en hållbar reservdelshållning över tid.",FALSE
"K52675","Fågelskyddsavståndet mellan utliggare och annan jordad anläggningsdel än kontaktledningsstolpen ska upprätthållas på anläggningar som är fågelsäkrade.",TRUE
"K71729","Öppningsbar bro, vägoperativ miljö, ska vara försedd med avstängningsanordning inklusive Rött blinkande ljus för avstängningsanordningar och varningsskyltar.",FALSE
"K27598","Styrapparater i vägtrafiksignalsystem ska vid funktionsläge manuell styrning vara med fasbilder för oberoende styrning.",FALSE
"K126371","För en säker uppstart av PLS-programmet ska en kallstart genomföras genom att man först gör en minnesreset och sedan start av CPU-enheten enligt nedan Minnesreset förutsätter att omkopplaren är ställd i läge STOP och att lysdioden på CPU- enheten lyser rött.",FALSE
"K44033","Egentyngd från en installation som är fast monterad och säkert lastbestämd ska i en varaktig dimensioneringssituation betraktas som permanent last.",TRUE
"K48993","Ställverk ska vara utförd i lägst IAC klass FL, åtkomst av front och gavlar vid normal uppställning i ställverksrum vilket förutsätter montage mot vägg eller dylikt alternativt hinder för åtkomst av baksidan av ställverket.",FALSE
"K209197","I samband med projektering av ny kommunikationskabel och nya dukter för kommunikationskabel i Trafikverkets kabelanläggningar ska anläggningsnummer begäras från Trafikverket IKT via telekombestallning@trafikverket.",TRUE
"K195485","En övergångs trafiksäkerhetsegenskaper ska vara verifierade på ett av följande sätt: ·krockprovad enligt SS-ENV 1317-4 eller prEN 1317-4 metod A ·simulerad enligt prEN 1317-4 metod B1 ·utformad enligt principer angivna i prEN 1317-4 metod B2 eller B3 ·utformad utgående från skillnader i dynamisk utböjning vid TB11-prov enligt SS-EN 1317-2.",FALSE
"K3567","Kameraenheter ska vara med automatisk bildstabilisering som kompenserar för rörelser hos kameraenhet.",FALSE
"K57726","Minst åtta av de senaste händelserna, ska lagras i reläskyddsterminalen.",FALSE
"K35826","Banunderbyggnad och undergrund ska uppfylla krav i avsnitt 7.",FALSE
"K65256","Funktionen för ”NÄR”/”FJÄRR” ska finnas och vara realiserad i elektromekanisk teknik.",FALSE
"K134576","Godstjocklek ska vara ≥ 4,0 mm.",TRUE
"K68280","Erfarenheterna ska vara aktuella vid ansökningstillfället, dokumenteras i anpassad CV.",FALSE
"K111550","Vid dimensionering av magasin ska beaktas den sedimentering som kan ske före magasinet.",FALSE
"K29243","Tillträdesskydd ska förhindra obehörigt spårbeträdande, olaga intrång, stöld, skadegörelse, sabotage och anlagd brand vid trafikplats med godshantering.",FALSE
"K56651","Dokumentation ska uppfylla krav enligt TDOK 2016:0407 Data om järnvägsanläggningen.",TRUE
"K2770","Överkant på bomarm i avstängningsanordningar vid öppningsbar bro, vägoperativ miljö, ska vara 0,9 – 1,1 m över körbanan i stängt läge.",TRUE
"K162032","Datakommunikationsenhet ska vara installerad i kontrollskåp.",FALSE
"K54610","Värmeisolering ska även utgöra skydd mot oavsiktlig beröring av heta delar.",TRUE
"K135135","För vägbro samt gång- och cykelbro ska ytavlopps överyta förläggas 10 mm under beläggnings överyta.",TRUE
"K210928","IP-baserad ändutrustning som ska anslutas till Trafikverkets operativa nät ska fungera som en fullvärdig ”IP host”, specificerad i gällande RFC:er från IETF.",FALSE
"K109864","För vägar med obundna slitlager ska grusslitlager enligt AMA Anläggning läggas ut med lagertjockleken 50–90 mm.",TRUE
"K124919","Vid ibruktagande- och kontrollbesiktning av reläställverk, ska generella kontroller utföras.",TRUE
"K58188","Distansskydd ska ha minst tre zoner i riktning framåt och minst tre zoner i riktning bakåt.",TRUE
"K68257","Granskarens eller besiktningsmannens chef ska ansvara för att initiera återkallelse av behörighet.",TRUE
"K53275","Avspänningen ska klara de krafter som kan uppstå.",FALSE
"K128543","Varje växel ska vara belyst så att ljuset sprids jämnt mellan yttersta växelpunkterna.",TRUE
"K9763","Under varje provningsperiod ska provningsmöten hållas.",TRUE
"K42402","Med tryckluftsbromsade fordon i bromsprovare, läge manuell, ska tiden för medelvärdesbildning vara 5,3 s vid en nominell provningshastighet av 2 km/h.",FALSE
"K43635","Dörr mellan trafikutrymme och utrymningsväg ska vara lätt identifierbar som nödutgång.",TRUE
