"ID","text","Requirement","target","nature","interpretability","[Motivation for ambiguity]","reference","Logic rule","Comments"
"K134929","Ändskärm ska ges sådan höjd att följande uppfylls: · Avstånd från intilliggande brobaneplattas underyta till ändskärms underyta är ? 0,60 m.","The end shield must be given such a height that the following is met: · Distance from the undersurface of the adjacent bridge deck slab to the undersurface of the end shield is ? 0.60 m.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K159231","Lägesvisare ska vara utförd för visning av mellanläge.","Position indicators must be designed to display intermediate positions.","Product","Qualitative","Ambiguous (artificial)","This is on the edge between artificial and natural ambiguity. It is solution open but without the ""why"" it is difficult to say if the solution achieved the goal. Validation input: Underspecified and out of context difficult to place. Artificial","No reference",,
"K209219","I samband med förläggning av kablar, optorör och dukter i mark i Trafikverkets kabelanläggningar ska  förutom kraven i detta avsnitt  kraven i SS 424 14 37 uppfyllas.","In connection with the laying of cables, optotubes and ducts in the ground in the Swedish Transport Administration's cable facilities, the requirements in SS 424 14 37 must - in addition to the requirements in this section - be met.","Product","Qualitative","Non-ambiguous",,"External",,
"K37489","Avstånd mellan skarv och rälände får inte understiga 1,5 m.","Distance between joint and rail end must not be less than 1.5 m.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K158712","Sammanfattningen av resultatet från bärighetsberäkning ska även innehålla uppgift om tillåten trafiklast.","The summary of the result from the load-carrying capacity calculation must also contain information about the permitted traffic load.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K35144","Mätning av ytjämnhet ska utföras minst en gång per skift.","Measurement of surface smoothness must be carried out at least once per shift.","Process","Quantitative","Non-ambiguous",,"No reference",,
"K208840","Inför felavhjälpning i Trafikverkets optokabelanläggningar ska det finnas vedertagna rutiner för hantering av kabeltyper med olika antal fibrer.","Prior to troubleshooting in the Swedish Transport Administration's optical cable facilities, there must be accepted procedures for handling cable types with different numbers of fibres.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K43146","Enheter i lokala styrutrustningar för öppningsbar bro, vägoperativ miljö, ska så långt som möjligt utgöras av standardkomponenter för att möjliggöra en hållbar reservdelshållning över tid.","Units in local control equipment for openable bridge, road operational environment, shall as far as possible be made up of standard components to enable a sustainable spare part holding over time.","Product","Qualitative","Ambiguous (artificial)","Both ""as far as possible"" and ""standard components"" are underspecified aspects of the requirement. Hence artificial ambiguity.","No reference",,
"K52675","Fågelskyddsavståndet mellan utliggare och annan jordad anläggningsdel än kontaktledningsstolpen ska upprätthållas på anläggningar som är fågelsäkrade.","The bird protection distance between outriggers and other earthed plant parts than the catenary pole must be maintained on plants that are bird-proof.","Product","Qualitative","Ambiguous (artificial)","The distance could be specified or referred to explicitly. There exists possibly a regulation that specifies what the bird protection distance is, but that information is not referred to, and hence implicit, tacit knowledge. Indeed, the document in which the requirement is specified, defines the distance as 600mm: https://puben.trafikverket.se/dpub/api/v1/Dokument/DownloadDokument?id=c9ff9205-102f-4fca-a57e-f50c47dbb290&dokumentName=Krav%20TRVINFRA-00062%20Kontaktledning%20och%20h%20v2_0.pdf","No reference",,
"K71729","Öppningsbar bro, vägoperativ miljö, ska vara försedd med avstängningsanordning inklusive Rött blinkande ljus för avstängningsanordningar och varningsskyltar.","Openable bridge, road operational environment, shall be provided with shut-off device including Red flashing light for shut-off devices and warning signs.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K27598","Styrapparater i vägtrafiksignalsystem ska vid funktionsläge manuell styrning vara med fasbilder för oberoende styrning.","Control devices in road traffic signal systems must have phase images for independent control when operating in manual control mode.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K126371","För en säker uppstart av PLS-programmet ska en kallstart genomföras genom att man först gör en minnesreset och sedan start av CPU-enheten enligt nedan Minnesreset förutsätter att omkopplaren är ställd i läge STOP och att lysdioden på CPU- enheten lyser rött.","For a safe startup of the PLS program, a cold start must be carried out by first doing a memory reset and then starting the CPU unit as below Memory reset requires that the switch is set to STOP and that the LED on the CPU unit lights up red.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K44033","Egentyngd från en installation som är fast monterad och säkert lastbestämd ska i en varaktig dimensioneringssituation betraktas som permanent last.","Self-weight from an installation that is permanently mounted and safely determined as a load must be considered as a permanent load in a permanent design situation.","Product","Qualitative","Ambiguous (artificial)","Validation input: Very domain specific language that is hard to interpret.","No reference",,
"K48993","Ställverk ska vara utförd i lägst IAC klass FL, åtkomst av front och gavlar vid normal uppställning i ställverksrum vilket förutsätter montage mot vägg eller dylikt alternativt hinder för åtkomst av baksidan av ställverket.","Switchgear must be made in the lowest IAC class FL, access to the front and ends during normal setup in the switchgear room, which requires mounting against a wall or similar alternative obstacle for access to the back of the switchgear.","Product","Qualitative","Ambiguous (artificial)","Validation input: Sentence sounds incomplete. Meaning is unclear (even for swedish native speaker)","No reference",,
"K209197","I samband med projektering av ny kommunikationskabel och nya dukter för kommunikationskabel i Trafikverkets kabelanläggningar ska anläggningsnummer begäras från Trafikverket IKT via telekombestallning@trafikverket.","In connection with the design of new communication cable and new ducts for communication cable in the Swedish Transport Administration's cable facilities, the installation number must be requested from the Swedish Transport Administration ICT via telekombestallning@trafikverket.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K195485","En övergångs trafiksäkerhetsegenskaper ska vara verifierade på ett av följande sätt: ·krockprovad enligt SS-ENV 1317-4 eller prEN 1317-4 metod A ·simulerad enligt prEN 1317-4 metod B1 ·utformad enligt principer angivna i prEN 1317-4 metod B2 eller B3 ·utformad utgående från skillnader i dynamisk utböjning vid TB11-prov enligt SS-EN 1317-2.","The traffic safety characteristics of a transition must be verified in one of the following ways: ·crash tested according to SS-ENV 1317-4 or prEN 1317-4 method A ·simulated according to prEN 1317-4 method B1 ·designed according to principles stated in prEN 1317-4 method B2 or B3 ·designed based on differences in dynamic deflection in TB11 tests according to SS-EN 1317-2.","Process","Qualitative","Non-ambiguous",,"External",,
"K3567","Kameraenheter ska vara med automatisk bildstabilisering som kompenserar för rörelser hos kameraenhet.","Camera units must have automatic image stabilization that compensates for movements of the camera unit.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K57726","Minst åtta av de senaste händelserna, ska lagras i reläskyddsterminalen.","At least eight of the most recent events shall be stored in the relay protection terminal.","Product","Mixed","Non-ambiguous",,"No reference",,
"K35826","Banunderbyggnad och undergrund ska uppfylla krav i avsnitt 7.","Track infrastructure and subsoil must meet requirements in section 7.","Product","Qualitative","Non-ambiguous",,"Local",,
"K65256","Funktionen för NÄR/FJÄRR ska finnas och vara realiserad i elektromekanisk teknik.","The function for ""WHEN""/""AWAY"" must exist and be realized in electromechanical technology.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K134576","Godstjocklek ska vara ? 4,0 mm.","Material thickness must be ? 4.0 mm.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K68280","Erfarenheterna ska vara aktuella vid ansökningstillfället, dokumenteras i anpassad CV.","The experience must be current at the time of application, documented in a customized CV.","Documentation","Qualitative","Ambiguous (artificial)","Validation input: vid ansökningstillfället is ambiguous, when exactly? Vague.","No reference",,
"K111550","Vid dimensionering av magasin ska beaktas den sedimentering som kan ske före magasinet.","When dimensioning the reservoir, consideration must be given to the sedimentation that may occur before the reservoir.","Product","Qualitative","Ambiguous (artificial)","This requirement is formulated similarly as K135668. In both cases, the purpose (sedimentation and derusting) is quite vague and the solution on how to achieve this, open. Validation input: Should be artificial since beaktas does not clarify what is allowed and what is not.","No reference",,
"K29243","Tillträdesskydd ska förhindra obehörigt spårbeträdande, olaga intrång, stöld, skadegörelse, sabotage och anlagd brand vid trafikplats med godshantering.","Access protection must prevent unauthorized track entry, illegal trespassing, theft, vandalism, sabotage and arson at traffic points with goods handling.","Product","Qualitative","Ambiguous (natural)","This is natural ambiguity since the solution is not specified.","No reference",,
"K56651","Dokumentation ska uppfylla krav enligt TDOK 2016:0407 Data om järnvägsanläggningen.","Documentation must meet requirements according to TDOK 2016:0407 Data on the railway facility.","Documentation","Qualitative","Non-ambiguous",,"Internal","Target should probably be Process  instead, looking at the other requirements that contain references to TDOK and how we have defined this in the guidelines. We still need to do a consistency check.... -> Stays here as I decided that these requirements are not process requirements. See consistency analysis.",
"K2770","Överkant på bomarm i avstängningsanordningar vid öppningsbar bro, vägoperativ miljö, ska vara 0,9  1,1 m över körbanan i stängt läge.","Upper edge of boom arm in shut-off devices at openable bridge, road operational environment, must be 0.9  1.1 m above the carriageway in closed position.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K162032","Datakommunikationsenhet ska vara installerad i kontrollskåp.","Data communication unit must be installed in control cabinet.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K54610","Värmeisolering ska även utgöra skydd mot oavsiktlig beröring av heta delar.","Thermal insulation must also provide protection against accidental contact with hot parts.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K135135","För vägbro samt gång- och cykelbro ska ytavlopps överyta förläggas 10 mm under beläggnings överyta.","For road bridges and pedestrian and bicycle bridges, the upper surface of the surface drain must be placed 10 mm below the upper surface of the pavement.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K210928","IP-baserad ändutrustning som ska anslutas till Trafikverkets operativa nät ska fungera som en fullvärdig IP host, specificerad i gällande RFC:er från IETF.","IP-based end equipment that is to be connected to the Swedish Transport Administration's operational network must function as a full-fledged ""IP host"", specified in current RFCs from the IETF.","Product","Qualitative","Ambiguous (artificial)","The reference to ""current RFCs"" is misleading as not clear which RFC is meant. The phrase ""IP host"" is used in many RFCs. ","External",,
"K109864","För vägar med obundna slitlager ska grusslitlager enligt AMA Anläggning läggas ut med lagertjockleken 5090 mm.","For roads with unbonded wear layers, gravel wear layers must be laid out according to AMA Anlanjäng with a layer thickness of 5090 mm.","Product","Quantitative","Non-ambiguous",,"External",,
"K124919","Vid ibruktagande- och kontrollbesiktning av reläställverk, ska generella kontroller utföras.","During commissioning and inspection of relay switchgear, general checks must be carried out.","Process","Qualitative","Ambiguous (artificial)","This is artificial ambiguity since ""general checks"" is unclear what they imply.","No reference",,
"K58188","Distansskydd ska ha minst tre zoner i riktning framåt och minst tre zoner i riktning bakåt.","Distance protection must have at least three zones in the forward direction and at least three zones in the backward direction.","Product","Quantitative","Ambiguous (artificial)","Validation input: Needs tacit domain knowldge and that may not be equal everywhere, hence artificial ambiguous","No reference",,
"K68257","Granskarens eller besiktningsmannens chef ska ansvara för att initiera återkallelse av behörighet.","The manager of the examiner or inspector shall be responsible for initiating revocation of authorization.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K53275","Avspänningen ska klara de krafter som kan uppstå.","The tension must withstand the forces that may arise.","Product","Qualitative","Ambiguous (artificial)","This is artificial since the conditions (regular case vs. worst case) are not specified.","No reference",,
"K128543","Varje växel ska vara belyst så att ljuset sprids jämnt mellan yttersta växelpunkterna.","Each switch must be illuminated so that the light is spread evenly between the outermost switch points.","Product","Qualitative","Ambiguous (artificial)","Validation input: Eveness is not clear, hence vague.","No reference",,
"K9763","Under varje provningsperiod ska provningsmöten hållas.","During each trial period, trial meetings must be held.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K42402","Med tryckluftsbromsade fordon i bromsprovare, läge manuell, ska tiden för medelvärdesbildning vara 5,3 s vid en nominell provningshastighet av 2 km/h.","With air-braked vehicles in the brake tester, manual mode, the time for averaging must be 5.3 s at a nominal test speed of 2 km/h.","Product","Quantitative","Ambiguous (artificial)","This is artificial since the requirement does not specify to what the 5.3 seconds refer to, i.e. it assumes the reader knows what is measured.","No reference",,
"K43635","Dörr mellan trafikutrymme och utrymningsväg ska vara lätt identifierbar som nödutgång.","The door between the traffic space and the escape route must be easily identifiable as an emergency exit.","Product","Qualitative","Ambiguous (artificial)","""easy"" is subjective. Easy for who? ","No reference",,
"K158156","Kamerabevakning ska följa TDOK 2019:0390 Kamerabevakning i Trafikverket.","Camera surveillance must comply with TDOK 2019:0390 Camera surveillance in the Swedish Transport Administration.","Product","Qualitative","Non-ambiguous",,"Internal",,
"K52614","Stagskruven får inte vara övertäckt.","The stay screw must not be covered.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K135115","Översida av brobaneplattas tätskikt ska avvattnas.","The top surface of the bridge deck slab's waterproofing layer must be dewatered.","Process","Qualitative","Ambiguous (artificial)","Without purpose, the degree of dewatering is ambiguous. Maybe this is a standard procedure and is known in the industry, but then it is still collective tacit knowledge.","No reference",,
"K44387","Dräneringsledning ska vara försedd med dräneringsbrunnar och rensbrunnar.","The drainage pipe must be equipped with drainage wells and cleaning wells.","Product","Qualitative","Non-ambiguous","I chose non-ambiguous instead of natural since the elements that need to be present are clear. ","No reference",,
"K34736","Ultraljudskontroll ska utföras av växeltungan sex månader efter genomfört svetsarbete.","Ultrasonic inspection of the gear tongue should be performed six months after welding work has been completed.","Process","Mixed","Non-ambiguous",,"No reference",,
"K99912","Beskrivning av material, utförande och kontroll ska upprättas enligt BSAB-struktur.","Description of materials, workmanship and inspection shall be prepared according to the BSAB structure.","Process","Qualitative","Non-ambiguous",,"External",,
"K125522","Tilläggsskylt Stopp vid plankorsning tillhörande orienteringstavla, ska ha följande mått 645 x 510 millimeter.","Additional sign ""Stop at level crossing"" associated with the orientation board, shall have the following dimensions: 645 x 510 millimeters.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K36859","Dokumentation av kontroll på montageplats ska tillhandahållas enligt avsnitt 8.","Documentation of on-site inspection shall be provided in accordance with Section 8.","Documentation","Qualitative","Non-ambiguous",,"Local",,
"K46339","Oljegropar ska uppfylla kraven i SS-EN 61936-1 K46339 Med avsteg från SS-EN 61936-1 får uppsamlingstank ansluten till transformatorfundament inte förekomma.","Oil pits must meet the requirements of SS-EN 61936-1 K46339. In deviation from SS-EN 61936-1, a collection tank connected to the transformer foundation must not be present.","Product","Qualitative","Non-ambiguous",,"External",,
"K160213","Förvarningstavla ska vara placerad minst 1300 meter före den punkt där hastighetsnedsättningen börjar och enligt förbeskedsavstånd.","The warning sign must be placed at least 1300 meters before the point where the speed reduction begins and according to the advance notice distance.","Product","Quantitative","Ambiguous (artificial)","The ""advance notice distance"" is not specified and it is not clear where to look it up. Collective tacit knowledge. It is not necessary to specify the exact distance since that could be defined (and changed based on context somewhere else). But where to find the information is missing, hence ambiguity.","No reference",,
"K160114","En skredvarningsstopplykta ska vara försedd med en fyrkantig gul skylt med texten Skredvarning och stopplyktans beteckning.","An avalanche warning stop light must be equipped with a square yellow sign with the text ""Avalanche Warning"" and the stop light's designation.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K44181","Bergbultar ingående i bärande huvudsystem ska ha en stångdiameter på minst 20 mm.","Rock bolts included in the main load-bearing system must have a rod diameter of at least 20 mm.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K2763","Märkskyltars monteringsanordningar får inte vara i kontakt med annat material på sådant sätt att materialförstöring kan äga rum (galvanisk korrosion).","The mounting devices of nameplates must not be in contact with other materials in such a way that material destruction can occur (galvanic corrosion).","Product","Qualitative","Non-ambiguous",,"No reference",,
"K29951","Växelsliper och långsliper får inte kapas mer än att avstånd mellan rälens farkant och sliperände är minst 280 mm, se figur K8.","Switch sleepers and long sleepers may not be cut more than the distance between the rail's leading edge and the end of the sleeper is at least 280 mm, see figure K8.","Product","Quantitative","Non-ambiguous",,"Local",,
"K54575","Överfyllningsskyddet ska vara en standardiserad anordning.","The overfill protection shall be a standardized device.","Product","Qualitative","Ambiguous (artificial)","Standardized according to what?","No reference",,
"K197585","Lastcell och viktindikator till fast våganläggning vid trafikkontrollplats ska vara med sådan uppbyggnad/precision att en lastcell och/eller en viktindikator kan bytas under pågående kröningsperiod utan att en fullständig kröning av vågen är nödvändig.","The load cell and weight indicator for fixed weighing installations at traffic control points must be of such a design/precision that a load cell and/or a weight indicator can be replaced during the ongoing calibration period without a complete calibration of the scale being necessary.","Product","Qualitative","Ambiguous (natural)","What is missing in this requirement is the ""why"". Also, not clear why during the *calibration period* a change of the load cell is something to think about. ","No reference",,
"K127197","Konstruktionsredovisning ska inledas med konstruktionsstartmöte.","The design report should begin with a design kick-off meeting.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K73711","Material och varor i bullerskyddsskärm med tillhörande grundkonstruktion ska dokumenteras enligt krav i TDOK 2012:22 Material och varor - krav och kriterier avseende innehåll av farliga ämnen.","Materials and goods in noise protection screens with associated basic construction must be documented according to the requirements in TDOK 2012:22 Materials and goods - requirements and criteria regarding the content of hazardous substances.","Documentation","Qualitative","Non-ambiguous",,"Internal",,
"K36748","Räler ? 15 m ska hanteras med lyftok.","Rails ? 15 m must be handled with a lifting yoke.","Process","Quantitative","Non-ambiguous",,"No reference",,
"K195427","Räckets egenbredd får inte överstiga 0,30 m.","The actual width of the railing must not exceed 0.30 m.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K35086","Ny pinnlödning ska sättas fast om anslutning eller lodpinne lossnar.","New solder should be attached if the connection or solder pin becomes loose.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K63078","Sektionsutliggare i stolpe ska vara utformade enligt typritning i tabell 8.","Section cantilevers in posts must be designed according to the type drawing in Table 8.","Product","Qualitative","Non-ambiguous",,"Local",,
"K195365","En vägbanereflektor ska vara försedd med fysisk CE-märkning enligt SS-EN 1463-1.","A roadway reflector must be provided with a physical CE marking according to SS-EN 1463-1.","Product","Qualitative","Non-ambiguous",,"External",,
"K109676","Stensläpp från beläggning får inte förekomma.","Stones must not be released from the pavement.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K36288","Rälreglering ska utföras över hela arbetssträckan plus minst en rällängd på anslutande sektioner på båda sidor om arbetssträckan.","Rail regulation must be carried out over the entire working section plus at least one rail length on connecting sections on both sides of the working section.","Product","Mixed","Non-ambiguous",,"No reference",,
